User_ID,Age,Gender,Job_Type,Annual_Income,Marital_Status,Number_of_Dependents,Rent,EMI,Grocery,Food_Outside,Travel,Entertainment,Healthcare,Subscriptions,Education,Savings,Financial_Goal,Target_Monthly_Expense
76,32,Female,Freelancer,,Married,1,15757.0,9753,4489.0,770,2770,326,1279,309,1615,,None,37068
77,25,Other,Salaried,433505.0,Single,4,13519.0,8002,2754.0,2264,2622,787,2168,686,1262,5862.0,None,34064
78,31,Male,Self-Employed,619070.0,Married,3,14122.0,2676,3871.0,3209,4104,1303,3403,937,2800,14952.0,Emergency Fund,36425
79,40,Female,Student,564074.0,Married,3,14923.0,134,3831.0,1267,1423,1118,1506,1160,3960,5334.0,Education,29322
80,57,Male,Salaried,755826.0,Married,1,13946.0,13062,2868.0,2529,1022,1599,1036,640,1424,13164.0,Education,38126
81,38,Male,Salaried,284554.0,Single,0,7193.0,9576,4772.0,2571,1720,0,2111,777,2419,11674.0,Buy House,30843
82,33,Male,Self-Employed,429960.0,Single,2,14538.0,7039,3887.0,311,2369,770,1594,808,659,0.0,Save for Trip,31975
83,62,Other,Freelancer,272351.0,Married,1,12815.0,10218,7246.0,1224,2796,776,2562,636,1892,4661.0,Education,40165
84,35,Female,Self-Employed,548081.0,Married,2,14090.0,7051,4649.0,1473,898,1548,2151,690,3039,,Save for Trip,35589
85,64,Female,Salaried,842286.0,Married,1,8821.0,0,3744.0,2000,2510,1841,2309,1029,1789,8813.0,Save for Trip,24039
86,41,Female,Salaried,498911.0,Single,1,17458.0,12052,3368.0,1450,2504,1227,817,1462,1501,9835.0,Education,41839
87,43,Male,Unemployed,497863.0,Single,0,9196.0,12563,3317.0,2393,4461,2400,2267,881,1446,8061.0,Save for Trip,38924
88,42,Male,Student,774345.0,Single,3,11759.0,6685,6316.0,1680,2917,955,551,1117,2508,5854.0,Buy House,34488
89,62,Male,Salaried,813710.0,Single,4,9461.0,7834,6448.0,441,3378,569,2021,396,1872,,Emergency Fund,32420
90,58,Male,Freelancer,582286.0,Single,1,7012.0,5548,2004.0,0,3492,2140,2028,905,737,12763.0,Emergency Fund,23153
91,46,Male,Salaried,736943.0,Single,0,15578.0,15378,8245.0,1462,842,880,0,1258,3612,14891.0,Buy House,46933
92,32,Male,Salaried,384609.0,Single,2,9495.0,12816,5115.0,2154,740,480,2435,1128,1087,,Buy House,35450
93,62,Male,Salaried,875595.0,Single,3,,4751,6533.0,1995,2501,1710,1416,742,3880,9476.0,None,36260
94,18,Male,Salaried,1029741.0,Single,1,,10420,,916,1145,497,1036,1096,197,12049.0,Emergency Fund,24154
95,42,Male,Self-Employed,704243.0,Married,2,,4492,,2833,2286,1387,1431,896,5098,5298.0,Buy House,24858
96,24,Male,Salaried,183134.0,Married,1,20652.0,4749,4627.0,1602,1431,1961,380,388,3923,10267.0,Education,39713
97,26,Other,Salaried,488354.0,Married,4,19932.0,6228,5563.0,2851,1915,1002,2830,556,316,14626.0,Save for Trip,41193
98,41,Female,Freelancer,722565.0,Single,4,8978.0,5569,5328.0,2890,1837,1915,2128,1013,2051,10314.0,Buy House,31709
99,18,Other,Self-Employed,515703.0,Married,3,14278.0,1764,6754.0,2820,2228,1293,3177,733,2107,11030.0,Education,35154
100,61,Male,Self-Employed,854440.0,Single,2,9771.0,13306,2347.0,2640,322,0,1360,350,934,14992.0,None,30957
101,25,Male,Student,717631.0,Married,4,15337.0,8845,6361.0,811,219,1665,1229,866,3960,8152.0,Emergency Fund,39293
102,41,Female,Salaried,458705.0,Married,0,6591.0,14216,5771.0,1797,1408,2088,2279,618,3300,14856.0,Education,38068
103,28,Male,Self-Employed,606453.0,Single,3,6113.0,7335,5468.0,3491,1619,1362,2368,0,3434,8334.0,Save for Trip,31181
104,34,Male,Freelancer,421233.0,Married,1,12108.0,2129,2979.0,1753,3178,773,2530,766,3326,,Education,29542
105,25,Male,Self-Employed,563483.0,Single,2,13912.0,12102,3802.0,460,1932,1217,2391,269,1092,13016.0,None,37177
106,52,Male,Salaried,489081.0,Single,2,8509.0,9046,5957.0,2716,1744,641,2957,777,2554,14514.0,Save for Trip,34901
107,52,Male,Salaried,834952.0,Married,0,5477.0,6938,1316.0,2537,1250,2002,2148,767,2807,2176.0,Emergency Fund,25242
108,50,Male,Student,1023202.0,Single,4,18292.0,12820,2155.0,1890,2021,1197,1960,1504,414,4306.0,Save for Trip,42253
109,22,Female,Salaried,313762.0,Single,2,9678.0,2627,5689.0,1714,1271,1267,2796,977,1336,4743.0,Education,27355
110,59,Male,Student,215357.0,Married,0,9729.0,11924,5843.0,2231,317,914,597,894,2606,3396.0,Buy House,35055
111,56,Male,Self-Employed,550966.0,Single,0,18163.0,10872,3882.0,2752,2570,1779,2157,1183,39,12519.0,Buy House,43397
112,58,Female,Self-Employed,296317.0,Married,1,23208.0,8925,3878.0,2079,1005,387,854,676,2313,12036.0,Save for Trip,43325
113,45,Male,Freelancer,609242.0,Married,0,13638.0,2088,6427.0,2581,1075,2687,1756,676,1864,7759.0,Save for Trip,32792
114,24,Male,Self-Employed,749787.0,Single,3,16398.0,11752,6330.0,3666,80,1055,1873,579,0,3156.0,None,41537
115,26,Female,Salaried,898828.0,Single,2,6309.0,10977,4490.0,1729,1882,1183,609,1146,3161,7978.0,Education,31486
116,25,Male,Self-Employed,640279.0,Single,3,15654.0,9064,,4689,3210,365,1478,857,4721,13963.0,Save for Trip,43196
117,29,Male,Freelancer,561369.0,Single,0,16272.0,7782,7213.0,3816,0,2192,1660,602,1600,15994.0,Buy House,40928
118,51,Female,Salaried,204323.0,Single,0,7213.0,3486,3070.0,1527,0,1346,1690,1036,1239,0.0,Emergency Fund,20500
119,50,Male,Salaried,605237.0,Single,3,9327.0,3520,6014.0,4040,1905,1575,2146,440,2254,3088.0,Education,31221
120,40,Female,Salaried,614257.0,Single,1,18116.0,4899,6801.0,1466,1766,633,1864,544,2870,14978.0,None,38959
121,41,Female,Student,727791.0,Single,0,10619.0,1699,4990.0,4438,1026,1973,1704,709,299,18188.0,Education,27457
122,54,Male,Salaried,458302.0,Married,3,19120.0,1832,4117.0,1743,947,597,1514,831,2931,12768.0,Buy House,33632
123,52,Female,Self-Employed,512989.0,Married,3,12097.0,6225,2579.0,2515,1792,1663,1251,899,2102,3883.0,Education,31123
124,61,Female,Salaried,304400.0,Married,2,11854.0,2667,5094.0,2495,0,754,1750,735,0,,None,24447
125,57,Male,Salaried,141741.0,Single,1,16881.0,7070,2806.0,1618,195,185,562,872,1221,10009.0,None,31410
126,39,Female,Self-Employed,378301.0,Single,4,22263.0,8262,5460.0,2449,491,677,1222,1030,1993,7875.0,Emergency Fund,43847
127,44,Male,Salaried,285935.0,Married,3,15299.0,2205,1961.0,3161,1109,215,1504,1264,1378,9637.0,Education,28096
128,52,Female,Self-Employed,667342.0,Single,2,12874.0,11311,2485.0,2086,1136,976,266,812,2376,9658.0,Emergency Fund,34322
129,18,Male,Freelancer,496373.0,Single,4,18333.0,12044,5197.0,2262,0,2119,2077,1305,2016,13352.0,Save for Trip,44253
130,52,Male,Freelancer,492353.0,Married,2,18679.0,0,6259.0,2811,200,2270,1305,837,986,6265.0,Emergency Fund,32604
131,54,Male,Salaried,403117.0,Single,2,14673.0,13410,4574.0,889,2076,2747,1414,720,4261,11611.0,Save for Trip,44764
132,64,Female,Student,-46513.0,Single,1,13892.0,10237,6576.0,2084,2007,845,1639,648,0,5349.0,Save for Trip,37537
133,31,Male,Self-Employed,901662.0,Married,0,15506.0,8375,4159.0,3258,2365,951,591,414,941,8165.0,Save for Trip,36560
134,20,Male,Student,399946.0,Married,1,4850.0,13850,8267.0,1722,2024,1199,1577,662,3423,9110.0,Buy House,37574
135,18,Male,Salaried,517516.0,Single,4,6765.0,8425,3004.0,2599,1395,0,1098,1023,2919,10151.0,None,27089
136,22,Female,Self-Employed,309022.0,Single,1,13204.0,4879,3931.0,343,526,611,2185,570,1942,2772.0,Save for Trip,28191
137,43,Female,Student,794386.0,Single,0,8149.0,2030,7027.0,2104,514,592,2080,568,4299,4199.0,Education,27363
138,31,Female,,628686.0,Married,1,12182.0,7530,4613.0,1860,651,389,827,650,796,,Buy House,29498
139,56,Female,Salaried,434727.0,Single,1,13018.0,7516,6424.0,2050,2323,767,1430,984,3152,15785.0,Save for Trip,37664
140,44,Female,Salaried,521554.0,Single,1,7090.0,1185,3017.0,1833,2029,11,545,607,0,7566.0,Save for Trip,16180
141,26,Male,Salaried,935636.0,Married,3,14982.0,6569,3571.0,3237,534,1072,876,211,1752,0.0,None,32804
142,32,Female,Salaried,585406.0,Single,3,,14142,5897.0,1092,1879,0,1635,274,2549,12949.0,Buy House,29847
143,32,Female,Salaried,563653.0,Married,1,10392.0,10018,2843.0,1650,2127,586,2151,536,2819,10947.0,Buy House,33122
144,43,Other,Salaried,411724.0,Married,0,4336.0,2609,3180.0,1217,2012,0,1295,816,1220,6878.0,Emergency Fund,16510
145,59,Female,Student,221084.0,Single,0,10389.0,9218,4833.0,679,2395,1804,1202,720,213,10567.0,Education,31453
146,30,Male,Salaried,567992.0,Married,0,16781.0,10808,6977.0,1931,1550,2404,2094,763,4708,16638.0,None,48016
147,49,Male,Self-Employed,665097.0,Single,0,8291.0,12121,5551.0,1059,1236,626,1849,1207,1969,9261.0,Emergency Fund,33909
148,56,Female,Salaried,819917.0,Married,2,1882.0,10337,4688.0,2246,1574,401,352,1319,495,7312.0,Emergency Fund,23294
149,49,Female,Salaried,150301.0,Married,1,10829.0,12647,5247.0,2272,2515,1462,1341,477,1209,6852.0,Education,37999
150,21,Female,Salaried,374981.0,Single,1,7848.0,11022,2390.0,2158,2259,567,1259,415,3382,7768.0,None,31300
151,47,Female,Salaried,483852.0,Married,2,12008.0,7024,4130.0,2578,1594,157,1134,1114,3809,6257.0,Education,33548
152,54,Female,Freelancer,599304.0,Married,0,10822.0,9322,5661.0,0,2648,0,1082,821,1090,9993.0,None,30899
153,40,Male,Student,570993.0,Single,4,12878.0,7084,5356.0,3495,3357,128,1948,807,4984,17864.0,Save for Trip,40037
154,56,Female,Salaried,575662.0,Single,4,17863.0,9614,5918.0,1940,4059,1824,498,502,1221,7671.0,Buy House,43439
155,62,Male,Salaried,681619.0,Single,2,10115.0,10940,6052.0,2686,4045,1859,2407,406,1109,4225.0,Save for Trip,39619
156,32,Male,Salaried,419341.0,Single,4,12433.0,7697,5340.0,1001,4715,648,1470,61,885,3317.0,Save for Trip,34250
157,60,Male,Student,786828.0,Married,3,10385.0,9214,1229.0,725,2849,1321,1493,828,744,,Save for Trip,28788
158,46,Female,Freelancer,686690.0,Married,1,17050.0,6068,5505.0,2509,0,1904,2888,1062,2437,6776.0,Education,38251
159,53,Male,Self-Employed,536034.0,Single,4,12784.0,6779,4270.0,2724,1712,94,2212,964,1203,6188.0,None,32742
160,30,Male,Self-Employed,920182.0,Single,3,14598.0,7724,4420.0,772,32,1167,1087,877,580,10527.0,Save for Trip,31257
161,49,Female,Freelancer,911283.0,Single,1,15800.0,5759,4442.0,2597,3176,0,1688,503,1332,18720.0,Buy House,35062
162,24,Male,Salaried,786579.0,Single,3,2278.0,13309,5438.0,2701,1187,853,1063,385,3383,12340.0,Save for Trip,30597
163,39,Female,Salaried,-3711.0,Single,1,15935.0,10386,2795.0,2629,1947,1546,1568,1000,0,13657.0,Emergency Fund,36816
164,45,Female,Student,915789.0,Single,1,13902.0,10961,2426.0,2153,1354,1980,699,441,2901,18028.0,Emergency Fund,36817
165,19,Female,Freelancer,758952.0,Single,4,8628.0,10240,3143.0,2310,3298,1452,1321,550,579,2181.0,Education,31521
166,59,Female,Self-Employed,1001282.0,Married,2,18442.0,8679,6379.0,3711,315,0,1774,568,4093,15381.0,Buy House,43387
167,62,Male,Self-Employed,847493.0,Married,4,16935.0,3131,4344.0,1419,2207,224,1317,796,4676,15717.0,Education,35049
168,23,Female,Salaried,915669.0,Married,0,11050.0,12488,5758.0,2876,457,827,1020,813,1588,6037.0,Education,36877
169,45,Male,Self-Employed,775731.0,Single,3,1651.0,16325,5720.0,2421,0,1184,2920,1044,4578,12962.0,Education,35207
170,45,Female,Self-Employed,869739.0,Married,0,11713.0,10646,5595.0,628,1688,1130,1363,811,863,2343.0,Save for Trip,34437
171,61,Male,Salaried,998825.0,Married,1,7007.0,4852,5790.0,576,276,510,824,769,60,6417.0,None,20664
172,61,Female,Freelancer,643311.0,Married,4,1024.0,10376,4217.0,2168,5,1703,1351,1143,0,18324.0,None,21485
173,37,Male,,285554.0,Single,0,14908.0,4801,6003.0,400,0,1048,1512,611,0,8369.0,Buy House,28915
174,47,Male,Salaried,538508.0,Single,0,19635.0,6093,5573.0,0,1111,209,1985,807,2041,7022.0,Save for Trip,37058
175,28,Male,Salaried,677989.0,Single,0,11530.0,0,2621.0,5302,2433,589,1651,491,262,4899.0,None,23199
176,45,Male,Salaried,614978.0,Single,1,13296.0,13480,5089.0,1034,39,2905,1461,846,5766,10205.0,Emergency Fund,43916
177,42,Female,Self-Employed,350688.0,Married,1,18714.0,9268,4776.0,2919,2581,1913,1691,1042,1226,4454.0,Education,44130
178,56,Male,Salaried,273786.0,Married,1,12889.0,10292,5694.0,2234,962,1651,3260,612,856,5719.0,None,38450
179,50,Female,Self-Employed,451767.0,Single,0,8954.0,11158,5039.0,4327,436,1224,861,1297,1170,16818.0,Education,34466
180,18,Other,Student,761548.0,Single,3,856.0,9910,4641.0,3892,2714,306,830,809,2663,4689.0,Save for Trip,26621
181,44,Female,Salaried,916068.0,Married,4,16075.0,11907,7335.0,2561,2464,947,2548,967,2818,0.0,None,47622
182,30,Male,Student,783314.0,Single,4,14090.0,13462,5912.0,581,2313,541,924,338,3497,7784.0,Education,41658
183,58,Male,Unemployed,811485.0,Married,1,16638.0,7857,5061.0,3534,1732,919,1105,1221,2419,14682.0,None,40486
184,20,Female,Salaried,583837.0,Married,0,0.0,1355,3322.0,758,428,355,1905,1127,4018,4410.0,None,13029
185,56,Male,Salaried,251584.0,Single,3,22383.0,4626,5181.0,3072,2742,1386,1068,208,2067,,Buy House,42733
186,23,Male,Unemployed,508956.0,Married,2,8047.0,10476,3720.0,1010,1529,465,2311,386,2350,19599.0,Buy House,30294
187,25,Female,Unemployed,548247.0,Single,1,17463.0,3891,2521.0,1501,1635,533,1049,1039,2621,14260.0,Save for Trip,32253
188,44,Female,Salaried,500590.0,Married,2,2501.0,7748,4390.0,4325,1893,1312,1057,1084,1861,6949.0,Education,26171
189,26,Female,Salaried,610939.0,Married,4,8126.0,18003,4483.0,2246,2491,2389,2746,241,2041,10784.0,Buy House,42766
190,54,Male,Salaried,688284.0,Married,4,9279.0,12179,6545.0,1219,0,267,1329,1020,805,10798.0,Buy House,32515
191,50,Female,Unemployed,770603.0,Single,3,6891.0,0,6460.0,1782,1458,521,528,600,0,2768.0,Save for Trip,18030
192,59,Male,Salaried,544376.0,Single,3,7887.0,17324,6004.0,2238,1046,1041,3444,770,3849,,Emergency Fund,43603
193,61,Male,Self-Employed,219248.0,Single,2,20101.0,13468,4868.0,1147,2984,665,1535,735,1726,12571.0,Emergency Fund,47229
194,41,Female,Freelancer,503424.0,Single,4,10302.0,10653,4889.0,2652,3235,0,1234,570,758,4228.0,None,33752
195,32,Male,Salaried,608742.0,Married,3,22645.0,8538,5833.0,1185,1793,2127,967,726,2450,9141.0,Save for Trip,46264
196,49,Male,Self-Employed,844562.0,Single,3,17278.0,2483,5965.0,0,187,261,1732,522,3963,0.0,Education,32250
197,49,Male,Salaried,486438.0,Married,4,1977.0,6507,5535.0,1782,909,1227,1700,616,3213,16347.0,Buy House,23466
198,41,Female,Student,702509.0,Single,4,10289.0,67,5763.0,1394,0,1526,3051,449,3437,21856.0,Emergency Fund,24950
199,58,Female,,658018.0,Single,0,10069.0,11806,4898.0,2146,2516,230,1329,1173,517,11276.0,Buy House,34684
200,29,Female,Self-Employed,608780.0,Married,3,7267.0,8742,4577.0,1800,929,1197,2263,647,716,7120.0,None,28138
201,56,Female,Self-Employed,786107.0,Single,2,18099.0,5026,1669.0,2866,2711,1456,3860,1089,1195,0.0,Buy House,37971
202,19,Male,Salaried,467832.0,Married,1,16310.0,12040,4490.0,2717,940,0,1881,971,2711,12741.0,Save for Trip,41631
203,20,Male,Salaried,484963.0,Single,1,22785.0,9330,3916.0,0,1303,872,1702,1127,2845,13881.0,Education,43871
204,54,Male,Salaried,597620.0,Married,4,9708.0,14557,5146.0,1952,1123,1284,1753,664,2121,11630.0,Buy House,38308
205,34,Male,Salaried,471971.0,Single,2,14192.0,6225,3985.0,1555,0,1675,1765,739,4083,15891.0,Education,34123
206,19,Female,Freelancer,701602.0,Married,0,10238.0,13572,5206.0,1694,0,0,1264,830,2173,12033.0,Save for Trip,34628
207,19,Female,Freelancer,457362.0,Single,3,10009.0,8899,2203.0,208,3474,1070,465,434,3382,7316.0,None,30144
208,45,Male,Salaried,645261.0,Single,0,16056.0,4902,3554.0,0,739,1650,2124,822,0,1187.0,Save for Trip,27875
209,40,Male,Self-Employed,579965.0,Married,2,23006.0,10375,3927.0,3496,2248,1227,1278,708,2837,11383.0,Emergency Fund,49102
210,54,Male,Self-Employed,642985.0,Married,0,16923.0,8299,3425.0,1763,4131,1519,1294,1156,5236,3793.0,None,43746
211,49,Male,Freelancer,508052.0,Single,4,16388.0,9823,9677.0,2292,1086,1506,2029,1228,2422,12601.0,Buy House,46451
212,50,Female,Salaried,532182.0,Single,1,11706.0,4055,1956.0,1312,1961,370,1258,1343,1942,17852.0,Education,25903
213,18,Male,Salaried,619202.0,Single,4,16238.0,0,6013.0,564,1789,1652,2571,262,2365,18641.0,None,30212
214,36,Male,Salaried,640415.0,Single,3,17889.0,6021,6494.0,1454,1834,1526,514,1008,2152,956.0,None,38892
215,19,Female,Self-Employed,599160.0,Married,4,7706.0,10287,4338.0,987,1989,657,1564,700,369,15585.0,Emergency Fund,28597
216,61,Male,Salaried,941072.0,Single,2,12208.0,10169,5498.0,2608,300,951,704,595,2500,12671.0,Buy House,35533
